sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;variedades;campovaldesno.1;3;4;2018-06-06;4000000;microempresarial
femenino;servicio;fabricadearepas;villahermosa;3;8;2016-08-24;1050000;microempresarial
femenino;industria;carpinteria;belen;3;16;2018-01-30;7800000;microempresarial
femenino;comercio;variedades;calasanz;3;12;2018-05-16;3000000;microempresarial
femenino;servicio;variedades;laspalmas;2;10;2017-12-22;4400000;microempresarial
masculino;comercio;tienda;girardot;3;5;2019-05-16;8200000;microempresarial
masculino;servicio;drogueria;cabecerasancristobal;2;60;2018-07-12;7800000;microempresarial
femenino;industria;fabricade;moravia;2;4;2018-06-01;7800000;microempresarial
femenino;comercio;tienda;enciso;2;8;2017-04-18;7000000;microempresarial
femenino;comercio;almacenderopaen;cabecerasanantonio;2;80;2017-02-09;7377000;microempresarial
femenino;comercio;tiendadehelados;sanjavierno.1;2;13;2017-09-27;30000000;empresarialed
femenino;comercio;almacenderopaen;antonionariño;2;13;2016-08-16;6890000;microempresarial
masculino;comercio;productosdemar;santacruz;2;2;2018-06-07;2500000;microempresarial
femenino;agropecuaria;criaderodeanimales;cabecerasanantonio;2;80;2017-12-05;7300000;microempresarial
masculino;servicio;cafeeinternet;moravia;3;4;2018-02-13;3000000;microempresarial
femenino;industria;fabricade;popular;2;1;2018-08-24;7800000;microempresarial
masculino;industria;ebanistaria;manriqueoriental;2;3;2016-12-06;6500000;microempresarial
femenino;comercio;variedades;laspalmas;2;8;2018-05-22;4400000;microempresarial
masculino;agropecuaria;sembrados;santaelenacentral;2;90;2017-07-26;10000000;agropecuaria
femenino;comercio;variedades;aranjuez;3;4;2018-02-02;36;microempresarial
masculino;industria;fabricadecalzado;elsocorro;2;13;2017-12-12;7370000;microempresarial
masculino;industria;fabricade;docedeoctubreno.1;1;6;2016-07-27;6800000;microempresarial
femenino;comercio;fabricadehelados;manriquecentralno.1;2;4;2016-10-04;6000000;microempresarial
femenino;comercio;miscelanea;lopezdemesa;3;7;2017-10-18;2000000;microempresarial
femenino;comercio;bares;auresno.2;2;7;2019-03-01;2500000;microempresarial
masculino;servicio;variedades;popular;2;1;2017-08-31;5000000;microempresarial
femenino;comercio;miscelanea;buenosaires;2;9;2017-01-24;7370000;microempresarial
femenino;comercio;papeleria;cabecerasanantonio;2;80;2018-12-11;2000000;microempresarial
masculino;servicio;restaurante;centroadmtivo;3;10;2017-11-08;4000000;microempresarial
femenino;comercio;carniceria;robledo;3;7;2017-10-13;4000000;microempresarial
femenino;industria;fabricade;castilla;2;5;2019-01-18;8200000;microempresarial
femenino;comercio;comidasrapidas;sanjosedelacimano.;1;3;2018-02-16;2000000;microempresarial
femenino;servicio;comidasrapidas;palermo;1;4;2016-08-18;3500000;microempresarial
masculino;servicio;tienda;13denoviembre;1;8;2017-08-15;7200000;microempresarial
femenino;servicio;mantenimientoen;tejelo;3;5;2017-04-03;7377000;microempresarial
femenino;industria;fabricade;docedeoctubreno.1;1;6;2016-04-15;2000000;microempresarial
femenino;comercio;variedades;franciscoantoniozea;2;5;2018-02-09;781000;microempresarial
femenino;comercio;tienda;picacho;1;6;2019-05-29;8200000;microempresarial
masculino;comercio;almacenderopaen;girardot;3;5;2017-02-23;3000000;microempresarial
masculino;industria;carpinteria;manriqueoriental;1;3;2016-12-16;6900000;microempresarial
femenino;servicio;peluqueria;buenosaires;3;9;2017-06-13;7377000;microempresarial
femenino;comercio;variedades;elsalvador;2;9;2017-10-27;6500000;microempresarial
masculino;servicio;cafeteria;santaelenacentral;2;90;2016-05-16;6000000;microempresarial
masculino;servicio;barberia;robledo;2;7;2018-05-08;6000000;microempresarial
masculino;comercio;peluqueria;belen;3;16;2018-06-08;7800000;microempresarial
femenino;industria;fabricade;lalomaoriental;2;60;2016-12-16;6890000;microempresarial
masculino;servicio;barberia;laloma;1;60;2018-08-24;7800000;microempresarial
femenino;servicio;cafeeinternet;buenosaires;3;9;2016-12-05;6890000;microempresarial
femenino;servicio;fabricade;castilla;3;5;2017-02-09;7377000;microempresarial
masculino;comercio;variedades;barriocaicedo;2;9;2017-10-24;7300000;microempresarial
masculino;industria;fabricade;manriqueoriental;2;3;2018-06-18;4000000;microempresarial
masculino;servicio;peluqueria;robledo;2;7;2018-02-21;7000000;microempresarial
femenino;servicio;comidasrapidas;florencia;3;5;2018-10-18;1500000;microempresarial
femenino;comercio;comidasrapidas;andalucia;2;2;2018-06-21;5000000;microempresarial
masculino;servicio;mantenimientoen;enciso;3;8;2018-09-27;7800000;microempresarial
masculino;comercio;comidasrapidas;docedeoctubreno.1;2;6;2018-10-24;4000000;microempresarial
femenino;industria;fabricade;manriquecentralno.2;2;3;2019-06-12;4500000;microempresarial
masculino;industria;fabricademuebles;cabecerasancristobal;3;60;2018-10-26;7800000;microempresarial
femenino;comercio;comidasrapidas;aranjuez;3;4;2017-06-13;4000000;microempresarial
masculino;industria;fabricadealimentos;robledo;3;7;2018-11-01;7800000;microempresarial
femenino;comercio;tienda;robledo;2;7;2017-02-13;5000000;microempresarial
femenino;comercio;comidasrapidas;sanjavierno.1;1;13;2018-03-14;7800000;microempresarial
femenino;servicio;cafeeinternet;robledo;1;7;2016-06-24;6000000;microempresarial
femenino;industria;fabricade;manriquecentralno.1;1;4;2018-11-13;2500000;microempresarial
femenino;comercio;legumbreria;manriquecentralno.2;2;3;2016-04-14;6000000;microempresarial
masculino;servicio;cafeeinternet;buenosaires;3;9;2018-02-06;4000000;microempresarial
femenino;comercio;variedades;robledo;1;7;2018-08-24;7800000;microempresarial
femenino;industria;fabricade;lafloresta;2;13;2018-12-21;5000000;microempresarial
femenino;comercio;variedades;cabecerasanantonio;2;80;2016-06-17;6800000;microempresarial
masculino;comercio;panaderia;pedregalalto;3;60;2017-12-04;7000000;microempresarial
masculino;comercio;ferreteria;villadelsocorro;1;2;2018-02-15;7800000;microempresarial
femenino;comercio;variedades;buenosaires;3;9;2018-08-01;1000000;microempresarial
femenino;industria;fabricade;lalibertad;2;8;2018-05-31;7800000;microempresarial
